date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-03,morning,2026-09-03T14:06:56Z,MUFG,Banks - Diversified,leaders,23.46,23.07,0.46,24.18,24.05,24.26,24.04,3.25,gapped_through,0.30434782608695776,,,69.43,1.39%,1.25%,1.18,3.07%,24.18,7.03%,9.61%,0.48
2026-09-03,morning,2026-09-03T14:06:56Z,MUR,Oil & Gas E&P,rs_new_high,38.03,36.55,1.44,37.57,37.66,37.58,37.12,-0.32,setting_up,0.312500000000002,,,55.90,3.65%,3.84%,0.36,-13.31%,37.57,4.66%,4.98%,1.38
2026-09-03,morning,2026-09-03T14:06:56Z,NOV,Oil & Gas Equipment & Services,emerging,21.83,21.16,0.69,21.68,21.74,21.83,21.55,-0.15,failed_breakout,0.18840579710144784,,,62.92,3.64%,3.19%,0.22,-0.70%,21.68,4.28%,9.11%,0.66
2026-09-03,morning,2026-09-03T14:06:56Z,NTRA,Diagnostics & Research,leaders,330.92,318.0,11.67,323.38,325.62,332.0,323.23,-0.55,failed_breakout,0.012853470437016047,,,59.09,3.20%,3.41%,0.40,-5.77%,323.38,0.17%,11.19%,11.46
2026-09-03,morning,2026-09-03T14:06:56Z,NVS,Drug Manufacturers - General,leaders,163.18,160.38,3.44,163.0,164.39,164.35,161.42,0.33,gapped_through,0.459302325581399,,,60.81,1.34%,1.43%,1.06,-4.38%,163.00,4.24%,4.81%,3.40
2026-09-03,morning,2026-09-03T14:06:56Z,NVT,,watchlist,148.31,143.87,7.41,149.01,147.51,151.24,147.01,0.57,triggered,0.2699055330634278,,,42.38,4.05%,4.10%,0.71,-19.30%,149.01,-6.02%,-5.41%,7.18
2026-09-03,morning,2026-09-03T14:06:56Z,NXE,,watchlist,10.31,9.93,0.49,10.58,10.51,10.72,10.51,3.52,gapped_through,0.14285714285714343,,,53.18,4.41%,4.36%,0.80,-24.21%,10.58,0.16%,7.40%,0.49
2026-09-03,morning,2026-09-03T14:06:56Z,OII,Oil & Gas Equipment & Services,emerging,52.38,50.52,2.07,51.72,51.81,52.13,51.32,0.18,setting_up,0.19323671497584474,,,56.95,3.64%,3.86%,0.28,-4.65%,51.72,0.63%,9.83%,1.98
2026-09-03,morning,2026-09-03T14:06:56Z,OKE,Oil & Gas Midstream,rs_new_high,96.71,94.41,2.54,96.17,96.46,96.9,95.45,0.17,failed_breakout,0.2834645669291334,,,60.49,2.90%,2.55%,0.35,-3.68%,96.17,2.43%,5.02%,2.46
2026-09-03,morning,2026-09-03T14:06:56Z,OSCR,Healthcare Plans,accel,30.74,29.38,1.73,31.32,30.47,31.37,30.46,3.26,triggered,0.49710982658959507,,,54.54,4.94%,6.03%,0.55,-6.64%,31.32,2.46%,3.32%,1.68
