date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,IOT,Software - Infrastructure,accel,39.38,38.12,2.18,39.31,38.98,39.31,38.0,0.59,reclaim,0.6009174311926615,prior_low,38.12,50.00,4.23%,5.57%,0.51,-17.19%,39.31,-0.95%,1.48%,2.12
2026-09-24,pre_close,2026-09-24T19:33:13Z,IQV,Diagnostics & Research,all_green,277.4,267.42,6.98,276.23,266.01,277.07,266.56,3.12,reclaim,1.385386819484243,prior_low,267.42,67.89,2.35%,2.48%,0.84,-0.42%,276.23,4.11%,12.10%,7.23
2026-09-24,pre_close,2026-09-24T19:33:13Z,KEYS,Scientific & Technical Instruments,rs_new_high,353.67,340.87,11.08,357.58,346.01,358.43,343.78,1.2,triggered,1.2454873646209397,,,64.47,2.66%,2.50%,0.42,-4.63%,357.58,8.28%,8.86%,11.34
2026-09-24,pre_close,2026-09-24T19:33:13Z,LOGI,Computer Hardware,all_green,106.77,104.42,2.93,99.91,101.56,101.57,98.4,-4.53,invalidated,0.5153583617747409,,,46.99,2.69%,2.45%,1.05,-22.94%,99.91,-0.86%,-2.02%,3.17
2026-09-24,pre_close,2026-09-24T19:33:13Z,LRCX,Semiconductor Equipment & Materials,emerging,309.75,298.56,15.65,305.6,301.86,305.98,298.86,-0.55,reclaim,0.43067092651757244,sma50,305.26524935426187,52.22,5.10%,3.94%,0.40,-30.31%,305.60,3.06%,0.31%,15.13
2026-09-24,pre_close,2026-09-24T19:33:13Z,LSCC,Semiconductors,all_green,122.46,118.86,5.7,121.49,118.94,121.5,117.43,-0.14,reclaim,0.7122807017543838,prior_low,118.86,55.12,4.31%,3.91%,0.30,-22.62%,121.49,5.93%,0.11%,5.60
2026-09-24,pre_close,2026-09-24T19:33:13Z,MATX,Marine Shipping,leaders,227.9,220.79,6.6,226.6,221.91,229.2,222.86,2.11,failed_breakout,0.5666666666666638,,,51.57,3.55%,2.58%,0.74,-5.93%,226.60,-0.47%,3.42%,6.64
2026-09-24,pre_close,2026-09-24T19:33:13Z,MDB,Software - Infrastructure,accel,438.28,424.14,21.98,421.23,425.77,427.0,416.81,-1.66,invalidated,0.2010919017288451,,,57.09,6.30%,5.07%,0.50,-10.96%,421.23,5.95%,9.59%,21.24
2026-09-24,pre_close,2026-09-24T19:33:13Z,MEDP,Diagnostics & Research,all_green,637.65,614.18,16.0,621.61,613.26,626.83,617.15,0.72,setting_up,0.2787500000000023,,,59.56,2.45%,2.36%,0.72,-8.30%,621.61,3.02%,5.01%,15.55
2026-09-24,pre_close,2026-09-24T19:33:13Z,MPC,Oil & Gas Refining & Marketing,leaders,400.72,378.8,14.87,391.83,393.15,401.08,387.73,0.89,failed_breakout,0.27572293207800713,,,55.44,4.90%,3.62%,0.55,-9.11%,391.83,-0.53%,10.42%,14.76
2026-09-24,pre_close,2026-09-24T19:33:13Z,MPWR,Semiconductors,all_green,1371.66,1302.1,58.62,1344.55,1320.71,1349.64,1313.09,-0.81,reclaim,0.5366769020812016,sma50,1302.9606844179564,58.67,5.42%,3.56%,0.28,-21.56%,1344.55,8.70%,3.21%,57.46
2026-09-24,pre_close,2026-09-24T19:33:13Z,MRVL,Semiconductors,all_green,264.97,256.22,14.08,261.4,254.45,261.98,252.19,0.19,reclaim,0.6541193181818167,prior_low,256.22,63.31,4.33%,4.67%,0.39,-20.76%,261.40,12.68%,19.28%,13.77
2026-09-24,pre_close,2026-09-24T19:33:13Z,MSFT,Software - Infrastructure,accel,509.44,495.88,11.1,497.44,495.39,498.11,491.23,-0.63,reclaim,0.5594594594594576,prior_low,495.88,54.04,2.22%,2.01%,0.36,-10.16%,497.44,-0.40%,5.06%,10.98
2026-09-24,pre_close,2026-09-24T19:33:13Z,MTCH,Internet Content & Information,all_green,41.55,39.46,1.36,40.71,40.48,41.48,40.44,0.57,reclaim,0.19852941176470817,sma50,40.22257551669316,45.36,3.50%,3.00%,0.56,-9.40%,40.71,-3.42%,1.18%,1.33
